date,city,price,br,lsqft,bsqft
2006-11-26,Berkeley,1152000.0,4.0,6025.0,3800.0
2006-04-23,Berkeley,1900000.0,6.0,5850.0,3187.0
2006-04-16,Berkeley,1150000.0,3.0,5200.0,2638.0
2006-11-12,Berkeley,1460000.0,3.0,8584.0,2377.0
2006-01-01,Berkeley,1250000.0,4.0,5500.0,3017.0
2006-04-30,Berkeley,2400000.0,7.0,6000.0,4830.0
2006-06-11,Berkeley,1450000.0,6.0,5280.0,2914.0
2006-02-12,Berkeley,860000.0,4.0,10219.0,2087.0
2006-10-29,Berkeley,905000.0,,4899.0,2484.0
2006-10-08,Berkeley,1455500.0,4.0,4692.0,2357.0
2006-04-02,Berkeley,1575000.0,7.0,4340.0,3393.0
2006-12-31,Berkeley,963500.0,3.0,4896.0,1938.0
2006-09-10,Berkeley,1000000.0,3.0,4692.0,2002.0
2006-03-05,Berkeley,1700000.0,7.0,11100.0,4400.0
2006-08-27,Berkeley,1100000.0,5.0,4320.0,2476.0
2006-08-27,Berkeley,690000.0,2.0,2108.0,1247.0
2006-10-08,Berkeley,747000.0,,3798.0,1992.0
2006-05-21,Berkeley,1000000.0,3.0,6026.0,2156.0
2006-12-10,Berkeley,1395000.0,,8000.0,4129.0
2006-01-01,Berkeley,1070000.0,4.0,5000.0,3004.0
2006-02-05,Berkeley,815000.0,2.0,3600.0,1237.0
2006-01-15,Berkeley,775000.0,,3840.0,1430.0
2006-03-26,Berkeley,2225000.0,6.0,7200.0,6270.0
2006-04-02,Berkeley,1877000.0,4.0,7605.0,3102.0
2006-03-05,Berkeley,1252000.0,2.0,3440.0,1345.0
2006-04-23,Berkeley,297500.0,4.0,4800.0,3647.0
2006-04-23,Berkeley,534000.0,,5400.0,2061.0
2006-08-27,Berkeley,510000.0,3.0,2200.0,1294.0
2006-04-02,Berkeley,1220000.0,5.0,4800.0,2474.0
2006-08-27,Berkeley,816000.0,4.0,4800.0,1810.0
2006-08-20,Berkeley,1450000.0,3.0,10492.0,2628.0
2006-02-05,Berkeley,1660000.0,6.0,5750.0,4811.0
2006-07-09,Berkeley,1600000.0,3.0,5500.0,1918.0
2006-12-17,Berkeley,1100000.0,2.0,4000.0,1732.0
2006-01-15,Berkeley,1100000.0,3.0,11856.0,2066.0
2006-09-24,Berkeley,1695000.0,3.0,12240.0,2406.0
2006-04-23,Berkeley,1030000.0,2.0,5750.0,1483.0
2006-07-09,Berkeley,1164500.0,3.0,5350.0,2964.0
2006-03-26,Berkeley,737000.0,2.0,3500.0,1121.0
2006-04-30,Berkeley,777000.0,4.0,5000.0,1425.0
2006-02-26,Berkeley,525000.0,3.0,3800.0,1051.0
2006-12-03,Berkeley,637000.0,2.0,2500.0,952.0
2006-06-04,Berkeley,665000.0,2.0,4025.0,1180.0
2006-11-26,Berkeley,565000.0,2.0,3800.0,916.0
2006-10-22,Berkeley,750000.0,5.0,2500.0,1750.0
2006-01-01,Berkeley,678000.0,2.0,2500.0,951.0
2006-06-04,Berkeley,468000.0,1.0,2500.0,737.0
2006-07-16,Berkeley,850000.0,3.0,5000.0,1785.0
2006-03-26,Berkeley,700000.0,4.0,5000.0,1103.0
2006-05-21,Berkeley,770000.0,3.0,5000.0,2058.0
2006-05-14,Berkeley,655000.0,2.0,3800.0,1228.0
2006-07-16,Berkeley,530000.0,1.0,5000.0,672.0
2006-02-05,Berkeley,799000.0,2.0,3500.0,1093.0
2006-08-13,Berkeley,997000.0,3.0,4025.0,1380.0
2006-12-24,Berkeley,602000.0,2.0,2750.0,1040.0
2006-10-15,Berkeley,582000.0,2.0,2730.0,934.0
2006-01-08,Berkeley,681000.0,2.0,5520.0,1018.0
2006-07-23,Berkeley,941000.0,3.0,4950.0,1504.0
2006-11-12,Berkeley,1100000.0,3.0,5400.0,2663.0
2006-03-26,Berkeley,885000.0,3.0,5400.0,1825.0
2006-01-01,Berkeley,912000.0,3.0,4214.0,1589.0
2006-06-04,Berkeley,1080000.0,5.0,7564.0,2718.0
2006-10-08,Berkeley,650000.0,2.0,5290.0,1059.0
2006-02-05,Berkeley,705000.0,3.0,2600.0,1300.0
2006-12-31,Berkeley,747500.0,3.0,3901.0,1445.0
2006-10-15,Berkeley,2250000.0,5.0,7488.0,4465.0
2006-01-01,Berkeley,730000.0,3.0,3930.0,1441.0
2006-03-19,Berkeley,674000.0,2.0,2701.0,1366.0
2006-06-04,Berkeley,800000.0,2.0,4810.0,1310.0
2006-09-03,Berkeley,808000.0,4.0,6808.0,1593.0
2006-06-04,Berkeley,462500.0,4.0,6292.0,2855.0
2006-06-04,Berkeley,740000.0,2.0,4600.0,1607.0
2006-02-05,Berkeley,250000.0,,4165.0,400.0
2006-05-14,Berkeley,925000.0,4.0,4937.0,2200.0
2006-12-31,Berkeley,620000.0,2.0,3850.0,848.0
2006-03-05,Berkeley,685000.0,2.0,2950.0,1203.0
2006-10-15,Berkeley,749000.0,4.0,4500.0,1667.0
2006-02-19,Berkeley,577500.0,2.0,2750.0,1099.0
2006-11-19,Berkeley,1120000.0,4.0,8736.0,2394.0
2006-12-03,Berkeley,960000.0,3.0,6555.0,1801.0
